image,xmin,ymin,xmax,ymax,class
d0000000199.jpg,78,278,91,288,1
g0000000154.jpg,154,226,182,264,1
g0000000095.jpg,222,226,225,231,1
g0000000020.jpg,284,236,316,275,1
c0000000031.jpg,298,218,337,391,2
f0000000148.jpg,53,233,121,291,1
e0000000011.jpg,73,263,102,286,1
f0000000145.jpg,251,229,256,238,1
e0000000083.jpg,185,261,294,330,1
d0000000078.jpg,422,267,445,290,1
d0000000072.jpg,144,247,180,320,2
a0000000044.jpg,177,278,184,286,1
e0000000070.jpg,34,262,81,296,1
d0000000180.jpg,169,259,188,303,2
e0000000127.jpg,215,253,226,266,1
g0000000193.jpg,175,227,186,254,1
c0000000044.jpg,94,253,101,281,3
b0000000025.jpg,51,272,80,294,1
g0000000159.jpg,364,218,445,348,1
g0000000129.jpg,264,233,275,256,1
g0000000103.jpg,316,232,379,307,1
f0000000137.jpg,163,230,174,239,1
a0000000180.jpg,98,276,107,284,1
g0000000059.jpg,251,230,261,244,1
a0000000175.jpg,411,277,440,296,1
f0000000134.jpg,1,234,95,310,1
g0000000092.jpg,321,217,399,309,1
f0000000157.jpg,256,231,260,238,1
g0000000051.jpg,268,232,279,262,1
g0000000062.jpg,218,227,222,233,1
b0000000061.jpg,398,279,427,295,1
e0000000001.jpg,194,255,204,269,1
g0000000100.jpg,209,227,223,248,1
e0000000148.jpg,215,253,226,266,1
g0000000122.jpg,196,231,207,250,1
c0000000118.jpg,60,247,69,282,3
c0000000012.jpg,94,253,101,281,3
f0000000107.jpg,165,228,172,233,1
a0000000050.jpg,264,277,276,288,1
g0000000024.jpg,161,231,184,262,1
c0000000087.jpg,24,245,32,283,3
g0000000079.jpg,274,220,307,264,1
g0000000049.jpg,130,224,167,269,1
g0000000113.jpg,261,233,270,251,1
a0000000122.jpg,278,278,285,286,1
a0000000094.jpg,322,280,331,289,1
f0000000102.jpg,228,234,234,242,1
f0000000037.jpg,0,232,35,253,1
g0000000087.jpg,270,226,284,260,1
g0000000128.jpg,254,233,260,246,1
f0000000195.jpg,266,223,274,233,1
b0000000080.jpg,398,279,427,295,1
