image,xmin,ymin,xmax,ymax,class
e000030_0000.npy.png,194,255,204,269,1
e000095_0000.npy.png,104,267,213,340,1
g000142_0000.npy.png,186,229,202,248,1
f000029_0000.npy.png,129,229,143,240,1
a000191_0000.npy.png,279,279,284,287,1
c000118_0000.npy.png,206,273,241,314,1
c000197_0000.npy.png,26,245,35,283,3
f000126_0000.npy.png,243,227,251,238,1
f000187_0000.npy.png,256,226,261,234,1
b000031_0000.npy.png,398,279,427,295,1
b000078_0000.npy.png,51,269,80,293,1
f000066_0000.npy.png,258,229,262,236,1
g000147_0000.npy.png,323,223,412,331,1
a000185_0000.npy.png,347,280,357,288,1
f000140_0000.npy.png,157,230,171,238,1
g000030_0000.npy.png,316,237,379,305,1
a000049_0000.npy.png,177,278,184,285,1
c000051_0000.npy.png,297,227,336,380,2
d000100_0000.npy.png,132,252,148,316,2
g000059_0000.npy.png,342,240,444,338,1
d000177_0000.npy.png,166,258,186,304,2
e000089_0000.npy.png,215,253,226,266,1
e000171_0000.npy.png,4,267,37,300,1
g000002_0000.npy.png,319,240,387,312,1
g000074_0000.npy.png,270,218,301,260,1
e000028_0000.npy.png,1,267,39,304,1
c000008_0000.npy.png,60,249,69,283,3
a000002_0000.npy.png,177,278,186,286,1
f000158_0000.npy.png,262,230,267,236,1
d000182_0000.npy.png,86,277,98,287,1
g000151_0000.npy.png,333,224,445,352,1
c000119_0000.npy.png,79,248,88,284,3
b000051_0000.npy.png,398,278,427,295,1
g000169_0000.npy.png,191,227,201,248,1
c000018_0000.npy.png,60,249,69,283,3
a000191_0000.npy.png,227,277,233,286,1
g000086_0000.npy.png,187,236,196,255,1
g000106_0000.npy.png,200,228,210,245,1
a000173_0000.npy.png,131,277,137,285,1
g000084_0000.npy.png,96,239,148,291,1
a000187_0000.npy.png,411,277,440,296,1
f000137_0000.npy.png,244,231,252,242,1
e000146_0000.npy.png,36,263,83,296,1
c000159_0000.npy.png,60,247,69,282,3
a000112_0000.npy.png,271,278,277,288,1
g000065_0000.npy.png,192,232,204,247,1
f000165_0000.npy.png,233,230,238,237,1
g000099_0000.npy.png,263,232,278,252,1
f000052_0000.npy.png,31,229,56,246,1
g000179_0000.npy.png,155,232,169,265,1
f000143_0000.npy.png,35,232,113,295,1
g000194_0000.npy.png,2,243,96,336,1
g000046_0000.npy.png,175,220,192,245,1
g000123_0000.npy.png,311,210,416,316,1
a000123_0000.npy.png,410,278,439,295,1
d000007_0000.npy.png,205,231,229,326,3
g000095_0000.npy.png,132,224,171,266,1
f000040_0000.npy.png,94,229,110,242,1
e000151_0000.npy.png,72,263,104,288,1
a000005_0000.npy.png,99,276,107,284,1
d000112_0000.npy.png,133,253,147,313,2
g000086_0000.npy.png,278,219,316,269,1
g000012_0000.npy.png,343,244,446,347,1
e000019_0000.npy.png,236,259,365,326,1
e000131_0000.npy.png,392,246,405,305,3
a000138_0000.npy.png,322,279,330,288,1
g000125_0000.npy.png,269,236,292,263,1
e000154_0000.npy.png,195,254,205,266,1
a000191_0000.npy.png,214,277,219,286,1
d000170_0000.npy.png,162,259,180,305,2
a000057_0000.npy.png,64,276,88,291,1
f000185_0000.npy.png,259,226,263,233,1
a000056_0000.npy.png,176,277,186,286,1
g000176_0000.npy.png,256,229,268,247,1
g000186_0000.npy.png,205,230,217,249,1
f000066_0000.npy.png,82,231,101,242,1
b000036_0000.npy.png,52,271,80,292,1
g000135_0000.npy.png,160,234,185,262,1
c000158_0000.npy.png,94,250,101,283,3
g000108_0000.npy.png,106,227,158,281,1
a000017_0000.npy.png,345,280,357,289,1
f000045_0000.npy.png,150,228,160,236,1
a000058_0000.npy.png,228,277,233,285,1
f000049_0000.npy.png,51,229,73,245,1
a000181_0000.npy.png,347,280,357,288,1
b000040_0000.npy.png,398,279,427,295,1
c000181_0000.npy.png,89,248,98,284,3
b000095_0000.npy.png,237,243,275,325,3
f000181_0000.npy.png,99,224,112,236,1
f000049_0000.npy.png,187,227,198,235,1
a000185_0000.npy.png,214,277,219,286,1
c000108_0000.npy.png,272,200,309,385,3
f000171_0000.npy.png,102,231,148,272,1
f000161_0000.npy.png,161,232,171,238,1
f000013_0000.npy.png,68,224,100,242,1
f000150_0000.npy.png,181,231,188,238,1
f000178_0000.npy.png,265,226,269,231,1
g000115_0000.npy.png,284,226,310,276,1
b000160_0000.npy.png,398,279,427,295,1
c000049_0000.npy.png,62,250,69,281,3
f000036_0000.npy.png,167,229,177,236,1
g000065_0000.npy.png,261,228,268,254,1
e000032_0000.npy.png,33,263,81,295,1
f000153_0000.npy.png,120,231,144,242,1
c000084_0000.npy.png,67,248,75,284,3
a000055_0000.npy.png,99,277,108,284,1
a000112_0000.npy.png,177,277,185,285,1
e000166_0000.npy.png,195,254,205,266,1
f000183_0000.npy.png,98,227,114,236,1
a000138_0000.npy.png,411,277,439,295,1
b000059_0000.npy.png,398,279,427,295,1
g000161_0000.npy.png,268,236,274,259,1
b000195_0000.npy.png,51,271,81,292,1
b000004_0000.npy.png,247,246,264,323,3
f000104_0000.npy.png,228,231,233,238,1
f000173_0000.npy.png,253,227,258,236,1
d000183_0000.npy.png,171,259,191,302,2
f000148_0000.npy.png,219,225,231,246,1
f000154_0000.npy.png,174,233,182,240,1
a000131_0000.npy.png,322,281,329,288,1
g000018_0000.npy.png,1,240,87,342,1
a000162_0000.npy.png,98,276,107,284,1
b000017_0000.npy.png,247,246,265,323,3
e000065_0000.npy.png,70,263,105,286,1
a000138_0000.npy.png,269,277,277,288,1
a000187_0000.npy.png,63,275,88,292,1
a000041_0000.npy.png,98,277,107,283,1
f000148_0000.npy.png,252,230,256,239,1
b000169_0000.npy.png,52,272,79,292,1
d000013_0000.npy.png,216,229,233,327,3
f000182_0000.npy.png,96,224,109,236,1
g000002_0000.npy.png,155,235,177,269,1
e000143_0000.npy.png,215,250,226,266,1
c000042_0000.npy.png,36,245,49,285,3
g000124_0000.npy.png,313,210,423,318,1
g000173_0000.npy.png,272,233,286,261,1
a000101_0000.npy.png,411,277,440,294,1
g000176_0000.npy.png,299,233,359,292,1
c000175_0000.npy.png,94,250,101,283,3
f000129_0000.npy.png,121,231,136,238,1
