image,xmin,ymin,xmax,ymax,class
d000199_0000.npy.png,78,278,91,288,1
g000154_0000.npy.png,154,226,182,264,1
g000095_0000.npy.png,222,226,225,231,1
g000020_0000.npy.png,284,236,316,275,1
c000031_0000.npy.png,298,218,337,391,2
f000148_0000.npy.png,53,233,121,291,1
e000011_0000.npy.png,73,263,102,286,1
f000145_0000.npy.png,251,229,256,238,1
e000083_0000.npy.png,185,261,294,330,1
d000078_0000.npy.png,422,267,445,290,1
d000072_0000.npy.png,144,247,180,320,2
a000044_0000.npy.png,177,278,184,286,1
e000070_0000.npy.png,34,262,81,296,1
d000180_0000.npy.png,169,259,188,303,2
e000127_0000.npy.png,215,253,226,266,1
g000193_0000.npy.png,175,227,186,254,1
c000044_0000.npy.png,94,253,101,281,3
b000025_0000.npy.png,51,272,80,294,1
g000159_0000.npy.png,364,218,445,348,1
g000129_0000.npy.png,264,233,275,256,1
g000103_0000.npy.png,316,232,379,307,1
f000137_0000.npy.png,163,230,174,239,1
a000180_0000.npy.png,98,276,107,284,1
g000059_0000.npy.png,251,230,261,244,1
a000175_0000.npy.png,411,277,440,296,1
f000134_0000.npy.png,1,234,95,310,1
g000092_0000.npy.png,321,217,399,309,1
f000157_0000.npy.png,256,231,260,238,1
g000051_0000.npy.png,268,232,279,262,1
g000062_0000.npy.png,218,227,222,233,1
b000061_0000.npy.png,398,279,427,295,1
e000001_0000.npy.png,194,255,204,269,1
g000100_0000.npy.png,209,227,223,248,1
e000148_0000.npy.png,215,253,226,266,1
g000122_0000.npy.png,196,231,207,250,1
c000118_0000.npy.png,60,247,69,282,3
c000012_0000.npy.png,94,253,101,281,3
f000107_0000.npy.png,165,228,172,233,1
a000050_0000.npy.png,264,277,276,288,1
g000024_0000.npy.png,161,231,184,262,1
c000087_0000.npy.png,24,245,32,283,3
g000079_0000.npy.png,274,220,307,264,1
g000049_0000.npy.png,130,224,167,269,1
g000113_0000.npy.png,261,233,270,251,1
a000122_0000.npy.png,278,278,285,286,1
a000094_0000.npy.png,322,280,331,289,1
f000102_0000.npy.png,228,234,234,242,1
f000037_0000.npy.png,0,232,35,253,1
g000087_0000.npy.png,270,226,284,260,1
g000128_0000.npy.png,254,233,260,246,1
f000195_0000.npy.png,266,223,274,233,1
b000080_0000.npy.png,398,279,427,295,1
a000085_0000.npy.png,410,277,440,296,1
f000022_0000.npy.png,211,220,230,254,1
d000104_0000.npy.png,132,253,148,315,2
c000137_0000.npy.png,308,237,336,375,2
a000171_0000.npy.png,287,278,294,287,1
a000163_0000.npy.png,227,277,233,286,1
e000179_0000.npy.png,282,256,404,326,1
a000056_0000.npy.png,269,277,277,286,1
b000105_0000.npy.png,143,227,160,326,3
d000013_0000.npy.png,217,244,249,319,2
c000008_0000.npy.png,26,244,38,284,3
f000174_0000.npy.png,201,219,218,230,1
g000062_0000.npy.png,259,225,268,252,1
g000093_0000.npy.png,135,222,173,265,1
e000103_0000.npy.png,391,243,406,304,3
c000045_0000.npy.png,94,253,101,281,3
c000013_0000.npy.png,60,249,69,283,3
c000047_0000.npy.png,60,249,69,283,3
f000182_0000.npy.png,225,220,235,240,1
e000044_0000.npy.png,33,263,81,295,1
f000032_0000.npy.png,231,226,239,238,1
f000017_0000.npy.png,180,228,187,235,1
g000157_0000.npy.png,266,235,272,259,1
b000010_0000.npy.png,398,278,427,295,1
a000156_0000.npy.png,98,276,107,284,1
f000137_0000.npy.png,182,230,188,236,1
d000164_0000.npy.png,93,278,105,286,1
c000123_0000.npy.png,80,248,89,284,3
f000023_0000.npy.png,251,229,260,241,1
e000075_0000.npy.png,194,255,204,269,1
c000112_0000.npy.png,270,200,309,385,3
a000175_0000.npy.png,287,278,294,287,1
f000047_0000.npy.png,232,227,240,237,1
a000063_0000.npy.png,285,222,316,357,2
g000145_0000.npy.png,184,229,200,249,1
a000106_0000.npy.png,346,280,356,289,1
g000061_0000.npy.png,284,224,315,271,1
b000196_0000.npy.png,136,237,158,331,3
a000152_0000.npy.png,132,226,162,353,2
f000178_0000.npy.png,235,227,240,233,1
c000016_0000.npy.png,30,244,43,284,3
a000116_0000.npy.png,269,277,277,288,1
a000105_0000.npy.png,410,278,439,295,1
f000072_0000.npy.png,215,222,229,248,1
g000163_0000.npy.png,254,232,263,247,1
f000141_0000.npy.png,244,229,252,241,1
e000147_0000.npy.png,4,267,37,300,1
e000107_0000.npy.png,21,272,133,342,1
g000107_0000.npy.png,145,226,177,268,1
c000172_0000.npy.png,95,250,102,283,3
c000188_0000.npy.png,242,276,254,295,1
c000110_0000.npy.png,302,239,336,373,2
g000185_0000.npy.png,145,234,163,273,1
d000110_0000.npy.png,133,253,147,314,2
c000192_0000.npy.png,25,245,35,282,3
g000184_0000.npy.png,311,238,390,311,1
a000194_0000.npy.png,269,278,276,286,1
b000133_0000.npy.png,52,272,80,294,1
a000133_0000.npy.png,227,277,233,286,1
c000082_0000.npy.png,278,193,313,392,3
a000143_0000.npy.png,270,278,277,286,1
a000006_0000.npy.png,64,276,88,293,1
g000098_0000.npy.png,221,228,224,233,1
e000067_0000.npy.png,33,263,74,295,1
g000101_0000.npy.png,259,233,267,250,1
c000018_0000.npy.png,3,244,11,284,3
a000033_0000.npy.png,98,277,107,284,1
b000145_0000.npy.png,52,271,80,290,1
e000010_0000.npy.png,291,255,423,319,1
a000014_0000.npy.png,178,278,184,286,1
e000056_0000.npy.png,194,255,204,269,1
c000180_0000.npy.png,98,252,105,284,3
f000052_0000.npy.png,79,229,97,244,1
g000045_0000.npy.png,94,227,149,276,1
a000047_0000.npy.png,227,277,233,286,1
g000084_0000.npy.png,221,230,225,236,1
b000147_0000.npy.png,53,270,81,292,1
e000074_0000.npy.png,194,255,204,269,1
g000056_0000.npy.png,185,229,195,253,1
a000084_0000.npy.png,63,275,89,292,1
c000179_0000.npy.png,26,245,35,283,3
e000099_0000.npy.png,72,263,105,291,1
g000109_0000.npy.png,382,212,448,392,1
b000020_0000.npy.png,398,278,427,295,1
g000075_0000.npy.png,176,225,192,252,1
c000082_0000.npy.png,58,243,66,286,3
c000118_0000.npy.png,302,239,336,373,2
a000022_0000.npy.png,410,277,440,295,1
a000076_0000.npy.png,270,216,311,368,2
f000126_0000.npy.png,143,228,154,236,1
g000043_0000.npy.png,274,223,297,259,1
b000121_0000.npy.png,236,243,268,324,3
a000151_0000.npy.png,322,280,330,287,1
f000183_0000.npy.png,92,223,107,237,1
c000133_0000.npy.png,308,241,338,374,2
g000044_0000.npy.png,218,224,223,230,1
f000006_0000.npy.png,207,217,227,255,1
d000101_0000.npy.png,132,252,147,314,2
g000110_0000.npy.png,294,213,360,289,1
c000040_0000.npy.png,9,244,18,283,3
a000000_0000.npy.png,408,276,441,295,1
a000140_0000.npy.png,213,278,218,286,1
b000037_0000.npy.png,247,245,265,323,3
b000116_0000.npy.png,397,279,427,295,1
g000134_0000.npy.png,161,234,185,260,1
f000065_0000.npy.png,263,229,267,234,1
a000104_0000.npy.png,192,209,280,372,2
g000160_0000.npy.png,206,230,219,248,1
c000042_0000.npy.png,60,249,69,283,3
c000193_0000.npy.png,243,276,256,292,1
f000169_0000.npy.png,144,231,154,239,1
g000073_0000.npy.png,191,229,204,246,1
f000089_0000.npy.png,228,230,234,238,1
a000074_0000.npy.png,149,278,157,285,1
a000162_0000.npy.png,130,231,158,351,2
g000101_0000.npy.png,287,215,339,280,1
f000160_0000.npy.png,256,230,260,238,1
c000003_0000.npy.png,298,207,350,408,2
